Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7
10948.8203125,-250.900390625,191.6201171875,-339.3291015625,782.52734375,-1418.044921875,1804.9814453125,-1069.8349609375
10697.919921875,-59.2802734375,-147.708984375,443.1982421875,-635.517578125,386.9365234375,735.146484375,-3501.7548828125
10638.6396484375,-206.9892578125,295.4892578125,-192.3193359375,-248.5810546875,1122.0830078125,-2766.6083984375,6133.8603515625
10431.650390625,88.5,103.169921875,-440.900390625,873.501953125,-1644.525390625,3367.251953125,-7152.0234375
10520.150390625,191.669921875,-337.73046875,432.6015625,-771.0234375,1722.7265625,-3784.771484375,7482.177734375
10711.8203125,-146.060546875,94.87109375,-338.421875,951.703125,-2062.044921875,3697.40625,-5870.7734375
10565.759765625,-51.189453125,-243.55078125,613.28125,-1110.341796875,1635.361328125,-2173.3671875,3214.814453125
10514.5703125,-294.740234375,369.73046875,-497.060546875,525.01953125,-538.005859375,1041.447265625,-3058.1904296875
10219.830078125,74.990234375,-127.330078125,27.958984375,-12.986328125,503.44140625,-2016.7431640625,5085.5
10294.8203125,-52.33984375,-99.37109375,14.97265625,490.455078125,-1513.3017578125,3068.7568359375,-5062.4599609375
10242.48046875,-151.7109375,-84.3984375,505.427734375,-1022.8466796875,1555.455078125,-1993.703125,2351.8515625
10090.76953125,-236.109375,421.029296875,-517.4189453125,532.6083984375,-438.248046875,358.1484375,-917.4697265625
9854.66015625,184.919921875,-96.3896484375,15.189453125,94.3603515625,-80.099609375,-559.3212890625,2438.87109375
10039.580078125,88.5302734375,-81.2001953125,109.5498046875,14.2607421875,-639.4208984375,1879.5498046875,-3161.1767578125
10128.1103515625,7.330078125,28.349609375,123.810546875,-625.16015625,1240.12890625,-1281.626953125,-290.294921875
10135.4404296875,35.6796875,152.16015625,-501.349609375,614.96875,-41.498046875,-1571.921875,4228.900390625
10171.1201171875,187.83984375,-349.189453125,113.619140625,573.470703125,-1613.419921875,2656.978515625,-2960.5263671875
10358.9599609375,-161.349609375,-235.5703125,687.08984375,-1039.94921875,1043.55859375,-303.5478515625,-1914.203125
10197.6103515625,-396.919921875,451.51953125,-352.859375,3.609375,740.0107421875,-2217.7509765625,5446.2802734375
9800.6904296875,54.599609375,98.66015625,-349.25,743.6201171875,-1477.740234375,3228.529296875,-6994.884765625
9855.2900390625,153.259765625,-250.58984375,394.3701171875,-734.1201171875,1750.7890625,-3766.35546875,6418.1962890625
10008.5498046875,-97.330078125,143.7802734375,-339.75,1016.6689453125,-2015.56640625,2651.8408203125,-1594.5390625
9911.2197265625,46.4501953125,-195.9697265625,676.9189453125,-998.8974609375,636.2744140625,1057.3017578125,-4697.673828125
9957.669921875,-149.51953125,480.94921875,-321.978515625,-362.623046875,1693.576171875,-3640.3720703125,5751.97265625
9808.150390625,331.4296875,158.970703125,-684.6015625,1330.953125,-1946.7958984375,2111.6005859375,-879.8876953125
10139.580078125,490.400390625,-525.630859375,646.3515625,-615.8427734375,164.8046875,1231.712890625,-4591.5810546875
10629.98046875,-35.23046875,120.720703125,30.5087890625,-451.0380859375,1396.517578125,-3359.8681640625,7015.9111328125
10594.75,85.490234375,151.2294921875,-420.529296875,945.4794921875,-1963.3505859375,3656.04296875,-6165.146484375
10680.240234375,236.7197265625,-269.2998046875,524.9501953125,-1017.87109375,1692.6923828125,-2509.103515625,3595.603515625
10916.9599609375,-32.580078125,255.650390625,-492.9208984375,674.8212890625,-816.4111328125,1086.5,-1891.6572265625
10884.3798828125,223.0703125,-237.2705078125,181.900390625,-141.58984375,270.0888671875,-805.1572265625,1953.4541015625
11107.4501953125,-14.2001953125,-55.3701171875,40.310546875,128.4990234375,-535.068359375,1148.296875,-1329.9140625
11093.25,-69.5703125,-15.0595703125,168.8095703125,-406.5693359375,613.228515625,-181.6171875,-2411.603515625
11023.6796875,-84.6298828125,153.75,-237.759765625,206.6591796875,431.611328125,-2593.220703125,7546.7666015625
10939.0498046875,69.1201171875,-84.009765625,-31.1005859375,638.2705078125,-2161.609375,4953.5458984375,-9068.626953125
11008.169921875,-14.8896484375,-115.1103515625,607.169921875,-1523.3388671875,2791.9365234375,-4115.0810546875,4869.078125
10993.2802734375,-130.0,492.0595703125,-916.1689453125,1268.59765625,-1323.14453125,753.9970703125,937.5
10863.2802734375,362.0595703125,-424.109375,352.4287109375,-54.546875,-569.1474609375,1691.4970703125,-3522.59765625
11225.33984375,-62.0498046875,-71.6806640625,297.8818359375,-623.6943359375,1122.349609375,-1831.1005859375,2498.6826171875
11163.2900390625,-133.73046875,226.201171875,-325.8125,498.6552734375,-708.7509765625,667.58203125,106.6474609375
11029.5595703125,92.470703125,-99.611328125,172.8427734375,-210.095703125,-41.1689453125,774.2294921875,-2532.9326171875
11122.0302734375,-7.140625,73.2314453125,-37.2529296875,-251.2646484375,733.060546875,-1758.703125,4988.87890625
11114.8896484375,66.0908203125,35.978515625,-288.517578125,481.7958984375,-1025.642578125,3230.17578125,-9421.58203125
11180.98046875,102.0693359375,-252.5390625,193.2783203125,-543.8466796875,2204.533203125,-6191.40625,13390.583984375
11283.0498046875,-150.4697265625,-59.2607421875,-350.568359375,1660.6865234375,-3986.873046875,7199.177734375,-10687.001953125
11132.580078125,-209.73046875,-409.8291015625,1310.1181640625,-2326.1865234375,3212.3046875,-3487.82421875,2377.3583984375
10922.849609375,-619.5595703125,900.2890625,-1016.068359375,886.1181640625,-275.51953125,-1110.4658203125,3743.3447265625
10303.2900390625,280.7294921875,-115.779296875,-129.9501953125,610.5986328125,-1385.9853515625,2632.87890625,-5042.2763671875
10584.01953125,164.9501953125,-245.7294921875,480.6484375,-775.38671875,1246.8935546875,-2409.3974609375,5311.265625
10748.9697265625,-80.779296875,234.9189453125,-294.73828125,471.5068359375,-1162.50390625,2901.8681640625,-6454.787109375
10668.1904296875,154.1396484375,-59.8193359375,176.7685546875,-690.9970703125,1739.3642578125,-3552.9189453125,6656.3994140625
10822.330078125,94.3203125,116.94921875,-514.228515625,1048.3671875,-1813.5546875,3103.48046875,-5540.8642578125
10916.650390625,211.26953125,-397.279296875,534.138671875,-765.1875,1289.92578125,-2437.3837890625,4486.171875
11127.919921875,-186.009765625,136.859375,-231.048828125,524.73828125,-1147.4580078125,2048.7880859375,-2814.2275390625
10941.91015625,-49.150390625,-94.189453125,293.689453125,-622.7197265625,901.330078125,-765.439453125,-102.365234375
10892.759765625,-143.33984375,199.5,-329.0302734375,278.6103515625,135.890625,-867.8046875,1514.2861328125
10749.419921875,56.16015625,-129.5302734375,-50.419921875,414.5009765625,-731.9140625,646.4814453125,212.6728515625
10805.580078125,-73.3701171875,-179.9501953125,364.0810546875,-317.4130859375,-85.4326171875,859.154296875,-1997.1396484375
10732.2099609375,-253.3203125,184.130859375,46.66796875,-402.845703125,773.7216796875,-1137.9853515625,1907.306640625
10478.8896484375,-69.189453125,230.798828125,-356.177734375,370.8759765625,-364.263671875,769.3212890625,-2484.51953125
10409.7001953125,161.609375,-125.37890625,14.6982421875,6.6123046875,405.0576171875,-1715.1982421875,4662.3095703125
10571.3095703125,36.23046875,-110.6806640625,21.310546875,411.669921875,-1310.140625,2947.111328125,-5841.1318359375
10607.5400390625,-74.4501953125,-89.3701171875,432.98046875,-898.470703125,1636.970703125,-2894.0205078125,4736.1005859375
10533.08984375,-163.8203125,343.6103515625,-465.490234375,738.5,-1257.0498046875,1842.080078125,-1889.8017578125
10369.26953125,179.7900390625,-121.8798828125,273.009765625,-518.5498046875,585.0302734375,-47.7216796875,-1801.21484375
10549.0595703125,57.91015625,151.1298828125,-245.5400390625,66.48046875,537.30859375,-1848.9365234375,4337.1220703125
10606.9697265625,209.0400390625,-94.41015625,-179.0595703125,603.7890625,-1311.6279296875,2488.185546875,-4405.380859375
10816.009765625,114.6298828125,-273.4697265625,424.7294921875,-707.8388671875,1176.5576171875,-1917.1953125,3275.80078125
10930.6396484375,-158.83984375,151.259765625,-283.109375,468.71875,-740.6376953125,1358.60546875,-3125.5009765625
10771.7998046875,-7.580078125,-131.849609375,185.609375,-271.9189453125,617.9677734375,-1766.8955078125,4764.1923828125
10764.2197265625,-139.4296875,53.759765625,-86.3095703125,346.048828125,-1148.927734375,2997.296875,-6333.3564453125
10624.7900390625,-85.669921875,-32.5498046875,259.7392578125,-802.87890625,1848.369140625,-3336.0595703125,4737.267578125
10539.1201171875,-118.2197265625,227.189453125,-543.1396484375,1045.490234375,-1487.6904296875,1401.2080078125,28.3017578125
10420.900390625,108.9697265625,-315.9501953125,502.3505859375,-442.2001953125,-86.482421875,1429.509765625,-4051.3251953125
10529.8701171875,-206.98046875,186.400390625,60.150390625,-528.6826171875,1343.02734375,-2621.8154296875,4374.95703125
10322.8896484375,-20.580078125,246.55078125,-468.5322265625,814.3447265625,-1278.7880859375,1753.1416015625,-2143.7939453125
10302.3095703125,225.970703125,-221.9814453125,345.8125,-464.443359375,474.353515625,-390.65234375,521.5087890625
10528.2802734375,3.9892578125,123.8310546875,-118.630859375,9.91015625,83.701171875,130.8564453125,-1346.6826171875
10532.26953125,127.8203125,5.2001953125,-108.720703125,93.611328125,214.5576171875,-1215.826171875,3612.8056640625
10660.08984375,133.0205078125,-103.5205078125,-15.109375,308.1689453125,-1001.2685546875,2396.9794921875,-4864.294921875
10793.1103515625,29.5,-118.6298828125,293.0595703125,-693.099609375,1395.7109375,-2467.3154296875,4086.7568359375
10822.6103515625,-89.1298828125,174.4296875,-400.0400390625,702.611328125,-1071.6044921875,1619.44140625,-2594.4853515625
10733.48046875,85.2998046875,-225.6103515625,302.5712890625,-368.9931640625,547.8369140625,-975.0439453125,1770.49609375
10818.7802734375,-140.310546875,76.9609375,-66.421875,178.84375,-427.20703125,795.4521484375,-1535.96875
10678.4697265625,-63.349609375,10.5390625,112.421875,-248.36328125,368.2451171875,-740.5166015625,2310.9755859375
10615.1201171875,-52.810546875,122.9609375,-135.94140625,119.8818359375,-372.271484375,1570.458984375,-4994.22265625
10562.3095703125,70.150390625,-12.98046875,-16.0595703125,-252.3896484375,1198.1875,-3423.763671875,7915.328125
10632.4599609375,57.169921875,-29.0400390625,-268.44921875,945.7978515625,-2225.576171875,4491.564453125,-8457.392578125
