Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9,Derivative_10
131.42740234374997,3.155091667202147,10.058063979665482,-41.37855983562478,50.5267489232508,760.8319437947206,-9469.360223494576,70256.6921672988,-399290.58908888785,1867915.4686068615,-7490485.586879982
132.588095703125,6.855246623308099,-5.16425748914325,-22.790807677529504,330.42117923183486,-2722.7510034755464,16376.632429565365,-76634.10661173693,287877.1096576959,-887680.1831972504,2434035.0328595713
135.10999999999999,4.955422464136644,-13.548527081398621,98.76435108948685,-671.2229383757331,3301.875382983077,-11815.479885433158,29269.963615186025,-38682.18007587148,7751.264482829322,-641826.6916093065
136.93299804687499,-0.02880210726443422,22.784847205061933,-148.16476838163123,543.4691323338236,-1044.7967544424885,-1047.66202757007,15039.584825581356,-35830.649229556184,-228363.58015531464,3342193.315952235
136.92240234374998,8.353274749710451,-31.721924988468746,51.766352315264385,159.10988617178427,-1430.2100756815057,4485.092033515305,1858.2256102022855,-119840.91548100306,1001160.6292041059,-6380814.825869126
139.99540039062498,-3.316569287929846,-12.678148227245286,110.29960832499216,-367.0349972276944,219.7630752105917,5168.695032566985,-42228.78340642307,248465.4973134523,-1346209.9631550494,6888274.483472778
138.77530273437497,-7.980599372857554,27.898810044781797,-24.725021345493897,-286.18867992910424,2121.219715376943,-10366.406208337818,49176.56489563406,-246777.47163145425,1187844.6044603863,-4796224.423524551
135.839404296875,2.2827992757649964,18.80298300924952,-130.0079529874055,494.1644435656116,-1692.3680075025416,7724.641004199216,-41607.79346184658,190206.1376559448,-576587.7561986238,144644.617361864
136.67919921874997,9.200030157563836,-29.024270083600364,51.78498635830836,-128.4229532908508,1149.3686083722737,-7582.010802921701,28365.13416640067,-21908.643880700332,-523375.9751950849,4491191.858414867
140.06370117187498,-1.47740210120008,-9.973638241035122,4.54082206808393,294.4061280571396,-1639.897288762399,2852.938902966766,20305.39449874451,-214447.90515802646,1128841.1758722845,-3620971.3663250934
139.5201953125,-5.146498563758208,-8.303163156169452,112.8467839351925,-308.87837011133524,-590.3597194427181,10322.876083930578,-58585.581011176546,200829.55579318263,-203239.74686916592,-3299559.8438135968
137.62690429687498,-8.201061585605137,33.21084865590366,-0.7832182513114097,-526.0595737900519,3207.214165595708,-11229.55471916532,15295.48374472831,126061.83129112862,-1417079.978323026,9628794.666632585
134.60990234374998,4.01652685875805,32.92271876329594,-194.30972028008276,653.808581166431,-923.9081490949609,-5602.660706707788,61671.039793157244,-395252.7592295849,2125155.622792283,-10525913.47435883
136.08749999999998,16.12811823924392,-38.55983254752017,46.21301519251742,313.9217675836352,-2985.011838951819,17084.84694886069,-83734.32439369275,386548.3036855873,-1747111.5439737437,7894281.899223593
142.02070312499998,1.9427485899978052,-21.55901434364949,161.6983796227365,-784.2027196200996,3300.152109094669,-13719.28951595928,58468.84955192977,-256178.1147756481,1157032.469562423,-5443273.151365308
142.735400390625,-5.9883695589510815,37.926495190290545,-126.79367863623094,429.85539405440426,-1746.892451305656,7790.198183141785,-35773.812152089056,169470.34354418906,-845435.8155053342,4540925.85434146
140.53240234375,7.964008297244401,-8.71829245047754,31.34128351303338,-212.79042471853163,1118.9613029233278,-5370.251839940895,26570.843126079417,-141548.11181023534,825077.4501907328,-5238475.202367528
