Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7,Derivative_8,Derivative_9
27956.26953125,48.349609375,-486.0,-488.62109375,-26.4609375,-75.150390625,-160.951171875,80.759765625,187.439453125,1157.01953125
28171.689453125,215.419921875,263.76953125,-270.580078125,-273.201171875,188.958984375,140.26953125,54.46875,296.1796875,402.859375
28245.560546875,73.87109375,289.291015625,337.640625,-196.708984375,-199.330078125,262.830078125,214.140625,128.33984375,370.05078125
28660.5,414.939453125,488.810546875,704.23046875,752.580078125,218.23046875,215.609375,677.76953125,629.080078125,543.279296875
29323.25,662.75,1077.689453125,1151.560546875,1366.98046875,1415.330078125,880.98046875,878.359375,1340.51953125,1291.830078125
29393.720703125,70.470703125,733.220703125,1148.16015625,1222.03125,1437.451171875,1485.80078125,951.451171875,948.830078125,1410.990234375
29667.349609375,273.62890625,344.099609375,1006.849609375,1421.7890625,1495.66015625,1711.080078125,1759.4296875,1225.080078125,1222.458984375
28914.58984375,-752.759765625,-479.130859375,-408.66015625,254.08984375,669.029296875,742.900390625,958.3203125,1006.669921875,472.3203125
28325.470703125,-589.119140625,-1341.87890625,-1068.25,-997.779296875,-335.029296875,79.91015625,153.78125,369.201171875,417.55078125
28981.439453125,655.96875,66.849609375,-685.91015625,-412.28125,-341.810546875,320.939453125,735.87890625,809.75,1025.169921875
29057.439453125,76.0,731.96875,142.849609375,-609.91015625,-336.28125,-265.810546875,396.939453125,811.87890625,885.75
29028.470703125,-28.96875,47.03125,703.0,113.880859375,-638.87890625,-365.25,-294.779296875,367.970703125,782.91015625
29404.2109375,375.740234375,346.771484375,422.771484375,1078.740234375,489.62109375,-263.138671875,10.490234375,80.9609375,743.7109375
29532.009765625,127.798828125,503.5390625,474.5703125,550.5703125,1206.5390625,617.419921875,-135.33984375,138.2890625,208.759765625
29771.66015625,239.650390625,367.44921875,743.189453125,714.220703125,790.220703125,1446.189453125,857.0703125,104.310546875,377.939453125
28985.939453125,-785.720703125,-546.0703125,-418.271484375,-42.53125,-71.5,4.5,660.46875,71.349609375,-681.41015625
28218.01953125,-767.919921875,-1553.640625,-1313.990234375,-1186.19140625,-810.451171875,-839.419921875,-763.419921875,-107.451171875,-696.5703125
28573.30078125,355.28125,-412.638671875,-1198.359375,-958.708984375,-830.91015625,-455.169921875,-484.138671875,-408.138671875,247.830078125
28934.880859375,361.580078125,716.861328125,-51.05859375,-836.779296875,-597.12890625,-469.330078125,-93.58984375,-122.55859375,-46.55859375
29835.58984375,900.708984375,1262.2890625,1617.5703125,849.650390625,63.9296875,303.580078125,431.37890625,807.119140625,778.150390625
29997.48046875,161.890625,1062.599609375,1424.1796875,1779.4609375,1011.541015625,225.8203125,465.470703125,593.26953125,969.009765625
30125.380859375,127.900390625,289.791015625,1190.5,1552.080078125,1907.361328125,1139.44140625,353.720703125,593.37109375,721.169921875
29925.890625,-199.490234375,-71.58984375,90.30078125,991.009765625,1352.58984375,1707.87109375,939.951171875,154.23046875,393.880859375
30417.48046875,491.58984375,292.099609375,420.0,581.890625,1482.599609375,1844.1796875,2199.4609375,1431.541015625,645.8203125
30417.48046875,0.0,491.58984375,292.099609375,420.0,581.890625,1482.599609375,1844.1796875,2199.4609375,1431.541015625
30887.279296875,469.798828125,469.798828125,961.388671875,761.8984375,889.798828125,1051.689453125,1952.3984375,2313.978515625,2669.259765625
30764.05078125,-123.228515625,346.5703125,346.5703125,838.16015625,638.669921875,766.5703125,928.4609375,1829.169921875,2190.75
