Derivative_0,Derivative_1,Derivative_2,Derivative_3,Derivative_4,Derivative_5,Derivative_6,Derivative_7
13150.0302734375,144.5400390625,-154.150390625,21.541015625,369.357421875,-882.423828125,1311.646484375,-1564.482421875
13294.5703125,-9.6103515625,-132.609375,390.8984375,-513.06640625,429.22265625,-252.8359375,589.09375
13284.9599609375,-142.2197265625,258.2890625,-122.16796875,-83.84375,176.38671875,336.2578125,-2683.4775390625
13142.740234375,116.0693359375,136.12109375,-206.01171875,92.54296875,512.64453125,-2347.2197265625,6406.5810546875
13258.8095703125,252.1904296875,-69.890625,-113.46875,605.1875,-1834.5751953125,4059.361328125,-6988.1259765625
13511.0,182.2998046875,-183.359375,491.71875,-1229.3876953125,2224.7861328125,-2928.7646484375,2669.0751953125
13693.2998046875,-1.0595703125,308.359375,-737.6689453125,995.3984375,-703.978515625,-259.689453125,1371.4326171875
13692.240234375,307.2998046875,-429.3095703125,257.7294921875,291.419921875,-963.66796875,1111.7431640625,169.4482421875
13999.5400390625,-122.009765625,-171.580078125,549.1494140625,-672.248046875,148.0751953125,1281.19140625,-3850.7666015625
13877.5302734375,-293.58984375,377.5693359375,-123.0986328125,-524.1728515625,1429.2666015625,-2569.5751953125,4484.322265625
13583.9404296875,83.9794921875,254.470703125,-647.271484375,905.09375,-1140.30859375,1914.7470703125,-3794.1396484375
13667.919921875,338.4501953125,-392.80078125,257.822265625,-235.21484375,774.4384765625,-1879.392578125,2586.5654296875
14006.3701171875,-54.3505859375,-134.978515625,22.607421875,539.2236328125,-1104.9541015625,707.1728515625,1851.6123046875
13952.01953125,-189.3291015625,-112.37109375,561.8310546875,-565.73046875,-397.78125,2558.78515625,-5342.3134765625
13762.6904296875,-301.7001953125,449.4599609375,-3.8994140625,-963.51171875,2161.00390625,-2783.5283203125,1394.767578125
13460.990234375,147.759765625,445.560546875,-967.4111328125,1197.4921875,-622.5244140625,-1388.7607421875,5623.6708984375
13608.75,593.3203125,-521.8505859375,230.0810546875,574.9677734375,-2011.28515625,4234.91015625,-7635.58203125
14202.0703125,71.4697265625,-291.76953125,805.048828125,-1436.3173828125,2223.625,-3400.671875,5331.6689453125
14273.5400390625,-220.2998046875,513.279296875,-631.2685546875,787.3076171875,-1177.046875,1930.9970703125,-3262.1494140625
14053.240234375,292.9794921875,-117.9892578125,156.0390625,-389.7392578125,753.9501953125,-1331.15234375,2422.947265625
14346.2197265625,174.990234375,38.0498046875,-233.7001953125,364.2109375,-577.2021484375,1091.794921875,-2325.462890625
14521.2099609375,213.0400390625,-195.650390625,130.5107421875,-212.9912109375,514.5927734375,-1233.66796875,3108.3916015625
14734.25,17.3896484375,-65.1396484375,-82.48046875,301.6015625,-719.0751953125,1874.7236328125,-5058.1298828125
14751.6396484375,-47.75,-147.6201171875,219.12109375,-417.4736328125,1155.6484375,-3183.40625,7595.9677734375
14703.8896484375,-195.3701171875,71.5009765625,-198.3525390625,738.1748046875,-2027.7578125,4412.5615234375,-8088.0751953125
14508.51953125,-123.869140625,-126.8515625,539.822265625,-1289.5830078125,2384.8037109375,-3675.513671875,5058.451171875
14384.650390625,-250.720703125,412.970703125,-749.7607421875,1095.220703125,-1290.7099609375,1382.9375,-1627.6220703125
14133.9296875,162.25,-336.7900390625,345.4599609375,-195.4892578125,92.2275390625,-244.6845703125,413.08984375
14296.1796875,-174.5400390625,8.669921875,149.970703125,-103.26171875,-152.45703125,168.4052734375,1104.0888671875
14121.6396484375,-165.8701171875,158.640625,46.708984375,-255.71875,15.9482421875,1272.494140625,-4632.7421875
13955.76953125,-7.2294921875,205.349609375,-209.009765625,-239.7705078125,1288.4423828125,-3360.248046875,7289.69140625
13948.5400390625,198.1201171875,-3.66015625,-448.7802734375,1048.671875,-2071.8056640625,3929.443359375,-7778.2578125
14146.66015625,194.4599609375,-452.4404296875,599.8916015625,-1023.1337890625,1857.6376953125,-3848.814453125,9587.615234375
14341.1201171875,-257.98046875,147.451171875,-423.2421875,834.50390625,-1991.1767578125,5738.80078125,-15053.8251953125
14083.1396484375,-110.529296875,-275.791015625,411.26171875,-1156.6728515625,3747.6240234375,-9315.0244140625,18298.052734375
13972.6103515625,-386.3203125,135.470703125,-745.4111328125,2590.951171875,-5567.400390625,8983.0283203125,-11423.50390625
13586.2900390625,-250.849609375,-609.9404296875,1845.5400390625,-2976.44921875,3415.6279296875,-2440.4755859375,-958.08984375
13335.4404296875,-860.7900390625,1235.599609375,-1130.9091796875,439.1787109375,975.15234375,-3398.5654296875,7872.853515625
12474.650390625,374.8095703125,104.6904296875,-691.73046875,1414.3310546875,-2423.4130859375,4474.2880859375,-9566.9091796875
12849.4599609375,479.5,-587.0400390625,722.6005859375,-1009.08203125,2050.875,-5092.62109375,12274.0341796875
13328.9599609375,-107.5400390625,135.560546875,-286.4814453125,1041.79296875,-3041.74609375,7181.4130859375,-14710.3779296875
13221.419921875,28.0205078125,-150.9208984375,755.3115234375,-1999.953125,4139.6669921875,-7528.96484375,12810.798828125
13249.4404296875,-122.900390625,604.390625,-1244.6416015625,2139.7138671875,-3389.2978515625,5281.833984375,-8748.552734375
13126.5400390625,481.490234375,-640.2509765625,895.072265625,-1249.583984375,1892.5361328125,-3466.71875,7059.2216796875
13608.0302734375,-158.7607421875,254.8212890625,-354.51171875,642.9521484375,-1574.1826171875,3592.5029296875,-6851.29296875
13449.26953125,96.060546875,-99.6904296875,288.4404296875,-931.23046875,2018.3203125,-3258.7900390625,4282.0908203125
13545.330078125,-3.6298828125,188.75,-642.7900390625,1087.08984375,-1240.4697265625,1023.30078125,-883.1748046875
13541.7001953125,185.1201171875,-454.0400390625,444.2998046875,-153.3798828125,-217.1689453125,140.1259765625,1214.048828125
13726.8203125,-268.919921875,-9.740234375,290.919921875,-370.548828125,-77.04296875,1354.1748046875,-3925.1455078125
13457.900390625,-278.66015625,281.1796875,-79.62890625,-447.591796875,1277.1318359375,-2570.970703125,5259.087890625
13179.240234375,2.51953125,201.55078125,-527.220703125,829.5400390625,-1293.8388671875,2688.1171875,-6505.7041015625
13181.759765625,204.0703125,-325.669921875,302.3193359375,-464.298828125,1394.2783203125,-3817.5869140625,8779.0126953125
13385.830078125,-121.599609375,-23.3505859375,-161.9794921875,929.9794921875,-2423.30859375,4961.42578125,-9163.390625
13264.23046875,-144.9501953125,-185.330078125,768.0,-1493.3291015625,2538.1171875,-4201.96484375,6559.7744140625
13119.2802734375,-330.2802734375,582.669921875,-725.3291015625,1044.7880859375,-1663.84765625,2357.8095703125,-2507.7177734375
12789.0,252.3896484375,-142.6591796875,319.458984375,-619.0595703125,693.9619140625,-149.908203125,-1616.966796875
13041.3896484375,109.73046875,176.7998046875,-299.6005859375,74.90234375,544.0537109375,-1766.875,4178.4765625
13151.1201171875,286.5302734375,-122.80078125,-224.6982421875,618.9560546875,-1222.8212890625,2411.6015625,-4968.3232421875
13437.650390625,163.7294921875,-347.4990234375,394.2578125,-603.865234375,1188.7802734375,-2556.7216796875,5786.888671875
13601.3798828125,-183.76953125,46.7587890625,-209.607421875,584.9150390625,-1367.94140625,3230.1669921875,-7670.4541015625
13417.6103515625,-137.0107421875,-162.8486328125,375.3076171875,-783.0263671875,1862.2255859375,-4440.287109375,9823.7548828125
13280.599609375,-299.859375,212.458984375,-407.71875,1079.19921875,-2578.0615234375,5383.4677734375,-9609.4013671875
12980.740234375,-87.400390625,-195.259765625,671.48046875,-1498.8623046875,2805.40625,-4225.93359375,4410.845703125
12893.33984375,-282.66015625,476.220703125,-827.3818359375,1306.5439453125,-1420.52734375,184.912109375,4218.7724609375
12610.6796875,193.560546875,-351.1611328125,479.162109375,-113.9833984375,-1235.615234375,4403.6845703125,-10515.9765625
12804.240234375,-157.6005859375,128.0009765625,365.1787109375,-1349.5986328125,3168.0693359375,-6112.2919921875,10001.0283203125
12646.6396484375,-29.599609375,493.1796875,-984.419921875,1818.470703125,-2944.22265625,3888.736328125,-3734.931640625
12617.0400390625,463.580078125,-491.240234375,834.05078125,-1125.751953125,944.513671875,153.8046875,-2522.5947265625
13080.6201171875,-27.66015625,342.810546875,-291.701171875,-181.23828125,1098.318359375,-2368.7900390625,3629.2451171875
13052.9599609375,315.150390625,51.109375,-472.939453125,917.080078125,-1270.4716796875,1260.455078125,-375.611328125
13368.1103515625,366.259765625,-421.830078125,444.140625,-353.3916015625,-10.0166015625,884.84375,-2742.0205078125
13734.3701171875,-55.5703125,22.310546875,90.7490234375,-363.408203125,874.8271484375,-1857.1767578125,4045.888671875
13678.7998046875,-33.259765625,113.0595703125,-272.6591796875,511.4189453125,-982.349609375,2188.7119140625,-5198.24609375
13645.5400390625,79.7998046875,-159.599609375,238.759765625,-470.9306640625,1206.3623046875,-3009.5341796875,6744.0458984375
13725.33984375,-79.7998046875,79.16015625,-232.1708984375,735.431640625,-1803.171875,3734.51171875,-7083.623046875
13645.5400390625,-0.6396484375,-153.0107421875,503.2607421875,-1067.740234375,1931.33984375,-3349.111328125,6071.3779296875
13644.900390625,-153.650390625,350.25,-564.4794921875,863.599609375,-1417.771484375,2722.2666015625,-5858.3564453125
13491.25,196.599609375,-214.2294921875,299.1201171875,-554.171875,1304.4951171875,-3136.08984375,6978.625
13687.849609375,-17.6298828125,84.890625,-255.0517578125,750.3232421875,-1831.5947265625,3842.53515625,-7510.8525390625
13670.2197265625,67.2607421875,-170.1611328125,495.271484375,-1081.271484375,2010.9404296875,-3668.3173828125,6868.501953125
13737.48046875,-102.900390625,325.1103515625,-586.0,929.6689453125,-1657.376953125,3200.1845703125,-5866.1240234375
13634.580078125,222.2099609375,-260.8896484375,343.6689453125,-727.7080078125,1542.8076171875,-2665.939453125,3529.416015625
13856.7900390625,-38.6796875,82.779296875,-384.0390625,815.099609375,-1123.1318359375,863.4765625,759.7763671875
13818.1103515625,44.099609375,-301.259765625,431.060546875,-308.0322265625,-259.6552734375,1623.2529296875,-4480.9033203125
13862.2099609375,-257.16015625,129.80078125,123.0283203125,-567.6875,1363.59765625,-2857.650390625,5761.66796875
13605.0498046875,-127.359375,252.8291015625,-444.6591796875,795.91015625,-1494.052734375,2904.017578125,-5519.455078125
13477.6904296875,125.4697265625,-191.830078125,351.2509765625,-698.142578125,1409.96484375,-2615.4375,4042.6904296875
13603.16015625,-66.3603515625,159.4208984375,-346.8916015625,711.822265625,-1205.47265625,1427.2529296875,-287.6748046875
13536.7998046875,93.060546875,-187.470703125,364.9306640625,-493.650390625,221.7802734375,1139.578125,-4531.4013671875
13629.8603515625,-94.41015625,177.4599609375,-128.7197265625,-271.8701171875,1361.3583984375,-3391.8232421875,6305.6220703125
13535.4501953125,83.0498046875,48.740234375,-400.58984375,1089.48828125,-2030.46484375,2913.798828125,-3158.51953125
13618.5,131.7900390625,-351.849609375,688.8984375,-940.9765625,883.333984375,-244.720703125,-1147.8525390625
13750.2900390625,-220.0595703125,337.048828125,-252.078125,-57.642578125,638.61328125,-1392.5732421875,1975.2998046875
13530.23046875,116.9892578125,84.970703125,-309.720703125,580.970703125,-753.9599609375,582.7265625,345.2333984375
13647.2197265625,201.9599609375,-224.75,271.25,-172.9892578125,-171.2333984375,927.9599609375,-2443.4638671875
13849.1796875,-22.7900390625,46.5,98.2607421875,-344.22265625,756.7265625,-1515.50390625,2709.037109375
13826.3896484375,23.7099609375,144.7607421875,-245.9619140625,412.50390625,-758.77734375,1193.533203125,-1386.0029296875
13850.099609375,168.470703125,-101.201171875,166.5419921875,-346.2734375,434.755859375,-192.4697265625,-319.7041015625
14018.5703125,67.26953125,65.3408203125,-179.7314453125,88.482421875,242.2861328125,-512.173828125,-278.080078125
14085.83984375,132.6103515625,-114.390625,-91.2490234375,330.7685546875,-269.8876953125,-790.25390625,3905.806640625
14218.4501953125,18.2197265625,-205.6396484375,239.51953125,60.880859375,-1060.1416015625,3115.552734375,-6313.2548828125
14236.669921875,-187.419921875,33.8798828125,300.400390625,-999.2607421875,2055.4111328125,-3197.7021484375,3645.005859375
14049.25,-153.5400390625,334.2802734375,-698.8603515625,1056.150390625,-1142.291015625,447.3037109375,1852.828125
13895.7099609375,180.740234375,-364.580078125,357.2900390625,-86.140625,-694.9873046875,2300.1318359375,-5304.55859375
14076.4501953125,-183.83984375,-7.2900390625,271.1494140625,-781.1279296875,1605.14453125,-3004.4267578125,5866.029296875
13892.6103515625,-191.1298828125,263.859375,-509.978515625,824.0166015625,-1399.2822265625,2861.6025390625,-6370.341796875
13701.48046875,72.7294921875,-246.119140625,314.0380859375,-575.265625,1462.3203125,-3508.7392578125,7320.107421875
13774.2099609375,-173.3896484375,67.9189453125,-261.2275390625,887.0546875,-2046.4189453125,3811.3681640625,-6092.359375
13600.8203125,-105.470703125,-193.30859375,625.8271484375,-1159.3642578125,1764.94921875,-2280.9912109375,2393.4892578125
13495.349609375,-298.779296875,432.5185546875,-533.537109375,605.5849609375,-516.0419921875,112.498046875,816.646484375
13196.5703125,133.7392578125,-101.0185546875,72.0478515625,89.54296875,-403.5439453125,929.14453125,-1902.8828125
13330.3095703125,32.720703125,-28.970703125,161.5908203125,-314.0009765625,525.6005859375,-973.73828125,1872.26171875
13363.0302734375,3.75,132.6201171875,-152.41015625,211.599609375,-448.1376953125,898.5234375,-1540.3359375
13366.7802734375,136.3701171875,-19.7900390625,59.189453125,-236.5380859375,450.3857421875,-641.8125,1039.869140625
