Date,Open,High,Low,Close,Adj Close,Volume
2020-05-13,28985.939453125,29044.400390625,28191.16015625,28467.41015625,28467.41015625,0
2020-05-14,28218.01953125,28780.900390625,27867.900390625,28779.609375,28779.609375,0
2020-05-15,28573.30078125,28941.01953125,28434.16015625,28934.880859375,28934.880859375,0
2020-05-18,28934.880859375,30030.919921875,28934.880859375,29900.0703125,29900.0703125,0
2020-05-19,29835.58984375,30043.869140625,29595.400390625,29599.650390625,29599.650390625,0
2020-05-20,29997.48046875,30213.69921875,29977.890625,30125.380859375,30125.380859375,0
2020-05-21,30125.380859375,30209.240234375,29785.66015625,29925.890625,29925.890625,0
2020-05-22,29925.890625,30025.849609375,29777.009765625,30016.30078125,30016.30078125,0
2020-05-26,30417.48046875,30417.48046875,30417.48046875,30417.48046875,30417.48046875,0
2020-05-27,30417.48046875,30887.310546875,30133.259765625,30887.279296875,30887.279296875,0
2020-05-28,30887.279296875,31182.609375,30696.5390625,30764.05078125,30764.05078125,0
2020-05-29,30764.05078125,30969.580078125,30480.2109375,30927.0390625,30927.0390625,0
2020-06-01,30874.8203125,31190.119140625,30830.76953125,31108.109375,31108.109375,0
2020-06-02,31223.130859375,31365.939453125,31059.80078125,31365.939453125,31365.939453125,0
2020-06-03,31365.939453125,31905.7890625,31365.939453125,31830.140625,31830.140625,0
2020-06-04,31682.509765625,31888.08984375,31484.3203125,31714.76953125,31714.76953125,0
2020-06-05,32367.359375,32721.44921875,32358.2890625,32525.310546875,32525.310546875,0
2020-06-08,32525.310546875,32992.26953125,32525.310546875,32991.73828125,32991.73828125,0
2020-06-09,32991.73828125,32991.73828125,32519.44921875,32685.529296875,32685.529296875,0
2020-06-10,32739.76953125,32816.2890625,32362.970703125,32465.990234375,32465.990234375,0
2020-06-11,32465.990234375,32465.990234375,30515.740234375,30532.189453125,30532.189453125,0
2020-06-12,30532.189453125,31452.080078125,30344.1796875,30947.189453125,30947.189453125,0
2020-06-15,30947.189453125,31412.689453125,30180.189453125,31288.83984375,31288.83984375,0
2020-06-16,31288.83984375,32172.1796875,31288.83984375,31871.970703125,31871.970703125,0
2020-06-17,31871.970703125,32016.80078125,31675.2109375,31728.73046875,31728.73046875,0
2020-06-18,31728.73046875,31836.720703125,31550.650390625,31772.509765625,31772.509765625,0
2020-06-19,32157.9296875,32157.9296875,31454.7890625,31612.05078125,31612.05078125,0
2020-06-22,31612.05078125,31850.509765625,31423.369140625,31821.41015625,31821.41015625,0
2020-06-23,32088.189453125,32183.369140625,31904.25,31946.1796875,31946.1796875,0
2020-06-24,31946.1796875,31946.1796875,30892.0390625,31105.619140625,31105.619140625,0
2020-06-25,31105.619140625,31460.830078125,30827.91015625,31454.3203125,31454.3203125,0
2020-06-26,31334.2890625,31345.400390625,30653.439453125,30683.80078125,30683.80078125,0
2020-06-29,30683.80078125,31145.599609375,30569.7890625,31144.91015625,31144.91015625,0
2020-06-30,31144.91015625,31732.94921875,31089.140625,31630.509765625,31630.509765625,0
2020-07-01,31644.720703125,31868.669921875,31583.4609375,31739.099609375,31739.099609375,0
2020-07-02,32150.279296875,32260.310546875,31826.30078125,31876.75,31876.75,0
2020-07-06,31876.75,32433.16015625,31876.75,32379.099609375,32379.099609375,0
2020-07-07,32379.099609375,32491.19921875,32068.400390625,32083.880859375,32083.880859375,0
2020-07-08,32083.880859375,32376.8203125,32005.970703125,32360.41015625,32360.41015625,0
2020-07-09,32360.41015625,32465.7109375,31782.779296875,32170.33984375,32170.33984375,0
2020-07-10,32170.33984375,32538.689453125,32011.529296875,32525.94921875,32525.94921875,0
2020-07-13,32809.3203125,33048.01953125,32092.939453125,32131.8203125,32131.8203125,0
2020-07-14,32131.8203125,32580.3203125,31834.48046875,32556.599609375,32556.599609375,0
2020-07-15,32945.328125,33015.921875,32628.98046875,32935.41015625,32935.41015625,0
2020-07-16,32690.7890625,32854.4296875,32628.810546875,32805.87109375,32805.87109375,0
2020-07-17,32805.87109375,32990.08984375,32706.640625,32906.96875,32906.96875,0
2020-07-20,32906.96875,33279.94921875,32832.609375,33218.87890625,33218.87890625,0
2020-07-21,33218.87890625,33488.671875,33180.0703125,33272.8515625,33272.8515625,0
2020-07-22,33272.8515625,33472.58984375,33232.6484375,33444.8984375,33444.8984375,0
2020-07-23,33444.8984375,33520.26953125,32895.0,33049.3515625,33049.3515625,0
2020-07-24,32794.44140625,32948.73828125,32648.369140625,32803.26953125,32803.26953125,0
2020-07-27,32862.01953125,33101.1484375,32801.6015625,33086.328125,33086.328125,0
2020-07-28,33023.921875,33124.578125,32830.828125,32849.73046875,32849.73046875,0
2020-07-29,33003.46875,33361.578125,33003.46875,33304.69921875,33304.69921875,0
2020-07-30,33304.69921875,33304.69921875,32762.009765625,33194.3984375,33194.3984375,0
2020-07-31,33432.37109375,33432.37109375,32892.0390625,33393.390625,33393.390625,0
2020-08-03,33546.0,33762.53125,33546.0,33690.5703125,33690.5703125,0
2020-08-04,33685.9296875,33824.4609375,33626.6796875,33824.078125,33824.078125,0
2020-08-05,33986.78125,34084.25,33969.9296875,34076.87890625,34076.87890625,0
2020-08-06,34027.19140625,34276.4609375,33979.3984375,34255.55078125,34255.55078125,0
2020-08-07,34131.1015625,34287.48046875,34023.62890625,34267.3515625,34267.3515625,0
2020-08-10,34353.46875,34384.12109375,34116.640625,34354.08984375,34354.08984375,0
2020-08-11,34500.03125,34565.1015625,34025.8203125,34063.94921875,34063.94921875,0
2020-08-12,34406.140625,34590.16015625,34370.7109375,34525.76953125,34525.76953125,0
2020-08-13,34453.37109375,34628.44140625,34393.2109375,34492.578125,34492.578125,0
2020-08-14,34434.05078125,34542.23046875,34373.41015625,34478.01171875,34478.01171875,0
2020-08-17,34593.578125,34667.87890625,34563.23046875,34632.25,34632.25,0
2020-08-18,34632.25,34755.4296875,34498.8984375,34694.05859375,34694.05859375,0
2020-08-19,34720.0390625,34802.30078125,34495.4609375,34543.87890625,34543.87890625,0
2020-08-20,34328.8203125,34713.73046875,34323.1796875,34658.73046875,34658.73046875,0
2020-08-21,34658.73046875,34770.51953125,34600.890625,34741.23046875,34741.23046875,0
2020-08-24,34741.23046875,35062.578125,34741.23046875,35061.4609375,35061.4609375,0
2020-08-25,35109.671875,35181.421875,34978.87109375,35178.390625,35178.390625,0
2020-08-26,35256.05859375,35543.4296875,35206.828125,35512.94921875,35512.94921875,0
2020-08-27,35596.91015625,35764.671875,35414.94140625,35585.4609375,35585.4609375,0
2020-08-28,35742.890625,35850.4609375,35620.94140625,35841.5703125,35841.5703125,0
2020-08-31,35849.609375,35950.109375,35709.76171875,35807.66015625,35807.66015625,0
2020-09-01,35901.6796875,36142.3515625,35779.23046875,36134.0390625,36134.0390625,0
2020-09-02,36328.83984375,36658.73046875,36122.83984375,36598.03125,36598.03125,0
2020-09-03,36320.75,36364.94921875,35010.6796875,35275.671875,35275.671875,0
2020-09-04,35296.3515625,35526.87890625,34119.171875,34970.26953125,34970.26953125,0
2020-09-08,34233.73828125,34484.671875,33963.0,33969.1796875,33969.1796875,0
2020-09-09,34423.2890625,34898.109375,34342.73046875,34659.0390625,34659.0390625,0
2020-09-10,34856.76953125,34988.23828125,34002.28125,34096.05859375,34096.05859375,0
2020-09-11,34179.390625,34375.3984375,33761.73828125,34072.71875,34072.71875,0
2020-09-14,34423.73046875,34731.73046875,34374.51171875,34609.359375,34609.359375,0
2020-09-15,34898.08984375,34982.3203125,34685.05078125,34806.41015625,34806.41015625,0
2020-09-16,34910.5390625,35126.03125,34679.578125,34682.4609375,34682.4609375,0
2020-09-17,34119.28125,34545.55078125,34081.921875,34375.55078125,34375.55078125,0
2020-09-18,34453.7109375,34471.578125,33747.6015625,34055.1796875,34055.1796875,0
2020-09-21,33541.3984375,33660.5,33104.078125,33659.30859375,33659.30859375,0
2020-09-22,33816.890625,34055.5390625,33543.94140625,34009.80078125,34009.80078125,0
2020-09-23,34038.69140625,34084.16015625,33133.5703125,33167.1484375,33167.1484375,0
2020-09-24,33002.62890625,33599.87890625,32832.1484375,33245.12109375,33245.12109375,0
2020-09-25,33173.8203125,33892.98828125,33133.19921875,33816.19140625,33816.19140625,0
2020-09-28,33816.19140625,34460.94140625,33816.19140625,34379.80859375,34379.80859375,0
2020-09-29,34379.80859375,34442.37890625,34152.2890625,34224.94140625,34224.94140625,0
2020-09-30,34224.94140625,34791.55859375,34224.94140625,34480.26953125,34480.26953125,0
2020-10-01,34480.26953125,34841.390625,34480.26953125,34767.66015625,34767.66015625,0
2020-10-02,34767.66015625,34767.66015625,34143.16015625,34470.87109375,34470.87109375,0
2020-10-05,34470.87109375,35122.12890625,34470.87109375,35117.44921875,35117.44921875,0
2020-10-06,35117.44921875,35405.9296875,34615.48046875,34673.55859375,34673.55859375,0
2020-10-07,34673.55859375,35349.859375,34673.55859375,35280.08984375,35280.08984375,0
2020-10-08,35280.08984375,35576.33984375,35280.08984375,35575.26953125,35575.26953125,0
2020-10-09,35575.26953125,35934.609375,35575.26953125,35881.25,35881.25,0
2020-10-12,35881.25,36566.71875,35881.25,36421.8203125,36421.8203125,0
2020-10-13,36421.8203125,36421.8203125,36153.7890625,36259.03125,36259.03125,0
2020-10-14,36259.03125,36432.08984375,35937.80078125,36014.890625,36014.890625,0
